
" Extraordinary Kibble
","32
","131
","33
","17
","1:49:08
"
" Raw Mutton
","68
","383
","94
","47
","2:16:00
"
" Cooked Lamb Chop
","125
","1450
","356
","178
","4:09:44
"
" Raw Prime Meat
","85
","702
","172
","86
","2:50:00
"
" Cooked Prime Meat
","169
","2275
","558
","279
","5:37:38
"
" Raw Prime Fish Meat
","211
","1087
","267
","134
","3:31:00
"
" Raw Meat
","253
","3855
","945
","473
","8:26:00
"
" Cooked Prime Fish Meat
","421
","3166
","776
","388
","7:12:34
"
" Cooked Meat
","505
","3845
","942
","471
","8:25:00
"
" Raw Fish Meat
","632
","5037
","1234
","617
","10:32:00
"
" Cooked Fish Meat
","1263
","5032
","1233
","617
","10:31:30
"
"KO:  × 1262;  × 515;  × 141;  × 81;  × 58;  × 29
"
"Torpidity-depletion: 2.21 / s, Time until all torpidity is depleted: 01:35:11
"
