
" Superior Kibble
","20
","0
","0
","0
","0:37:31
"
" Giant Bee Honey
","20
","113
","28
","14
","0:56:20
"
" Raw Mutton
","41
","267
","66
","33
","1:12:11
"
" Cooked Lamb Chop
","76
","864
","214
","107
","2:13:39
"
" Raw Prime Meat
","51
","438
","109
","55
","1:29:47
"
" Cooked Prime Meat
","102
","1308
","324
","162
","2:59:22
"
" Raw Prime Fish Meat
","128
","660
","164
","82
","1:52:40
"
" Raw Meat
","153
","2181
","541
","271
","4:29:20
"
" Cooked Prime Fish Meat
","255
","1805
","447
","224
","3:50:36
"
" Mejoberry
","255
","2181
","541
","271
","4:29:20
"
" Cooked Meat
","305
","2173
","538
","269
","4:28:27
"
" Berries
","382
","2178
","540
","270
","4:28:59
"
" Raw Fish Meat
","382
","2831
","701
","351
","5:36:14
"
" Cooked Fish Meat
","763
","2827
","700
","350
","5:35:47
"
"KO:  × 634;  × 259;  × 71;  × 41;  × 29;  × 15
"
"Torpidity-depletion: 2.37 / s, Time until all torpidity is depleted: 00:44:46
"
