
" Superior Kibble
","22
","0
","0
","0
","0:52:45
"
" Raw Mutton
","46
","44
","10
","5
","1:43:31
"
" Cooked Lamb Chop
","84
","544
","120
","60
","3:08:48
"
" Raw Prime Meat
","57
","189
","42
","21
","2:08:16
"
" Cooked Prime Meat
","114
","939
","207
","104
","4:16:14
"
" Raw Prime Fish Meat
","142
","374
","82
","41
","2:39:46
"
" Raw Meat
","170
","1678
","369
","185
","6:22:31
"
" Cooked Prime Fish Meat
","284
","1361
","299
","150
","5:28:17
"
" Cooked Meat
","340
","1678
","369
","185
","6:22:31
"
" Raw Fish Meat
","425
","2238
","492
","246
","7:58:08
"
" Cooked Fish Meat
","850
","2238
","492
","246
","7:58:08
"
"KO:  × 597;  × 244;  × 67;  × 38;  × 27;  × 14
"
"Torpidity-depletion: 1.04 / s, Time until all torpidity is depleted: 01:36:01
"
