
" Extraordinary Kibble
","25
","0
","0
","0
","1:25:15
"
" Raw Mutton
","54
","189
","46
","23
","1:48:00
"
" Cooked Lamb Chop
","99
","965
","231
","116
","3:17:47
"
" Raw Prime Meat
","67
","414
","99
","50
","2:14:00
"
" Cooked Prime Meat
","134
","1569
","376
","188
","4:27:43
"
" Raw Prime Fish Meat
","167
","699
","168
","84
","2:47:00
"
" Raw Meat
","200
","2712
","649
","325
","6:40:00
"
" Cooked Prime Fish Meat
","334
","2221
","532
","266
","5:43:10
"
" Cooked Meat
","400
","2712
","649
","325
","6:40:00
"
" Raw Fish Meat
","500
","3576
","856
","428
","8:20:00
"
" Cooked Fish Meat
","1000
","3576
","856
","428
","8:20:00
"
"KO:  × 983;  × 402;  × 110;  × 63;  × 45;  × 23
"
"Torpidity-depletion: 1.91 / s, Time until all torpidity is depleted: 01:26:09
"
