
" Superior Kibble
","18
","0
","0
","0
","0:43:10
"
" Raw Mutton
","38
","0
","0
","0
","1:25:31
"
" Cooked Lamb Chop
","70
","366
","80
","40
","2:37:20
"
" Raw Prime Meat
","47
","90
","20
","10
","1:45:46
"
" Cooked Prime Meat
","94
","655
","142
","71
","3:31:17
"
" Raw Prime Fish Meat
","117
","229
","50
","25
","2:11:38
"
" Raw Meat
","140
","1210
","262
","131
","5:15:01
"
" Cooked Prime Fish Meat
","234
","972
","211
","106
","4:30:29
"
" Cooked Meat
","280
","1210
","262
","131
","5:15:01
"
" Raw Fish Meat
","350
","1632
","354
","177
","6:33:46
"
" Cooked Fish Meat
","700
","1632
","354
","177
","6:33:46
"
"KO:  × 489;  × 200;  × 55;  × 32;  × 23;  × 12
"
"Torpidity-depletion: 0.92 / s, Time until all torpidity is depleted: 01:29:03
"
