
" Exceptional Kibble
","16
","0
","0
","0
","0:34:06
"
" Raw Mutton
","34
","0
","0
","0
","1:08:00
"
" Cooked Lamb Chop
","62
","381
","89
","45
","2:03:52
"
" Raw Prime Meat
","42
","73
","17
","9
","1:24:00
"
" Cooked Prime Meat
","83
","704
","164
","82
","2:45:50
"
" Raw Prime Fish Meat
","104
","227
","53
","27
","1:44:00
"
" Raw Meat
","125
","1354
","315
","158
","4:10:00
"
" Cooked Prime Fish Meat
","208
","1074
","250
","125
","3:33:43
"
" Cooked Meat
","249
","1346
","313
","157
","4:09:00
"
" Raw Fish Meat
","312
","1833
","426
","213
","5:12:00
"
" Cooked Fish Meat
","623
","1829
","425
","213
","5:11:30
"
"KO:  × 704;  × 288;  × 79;  × 45;  × 32;  × 16
"
"Torpidity-depletion: 1.58 / s, Time until all torpidity is depleted: 01:14:38
"
