
" Superior Kibble
","15
","0
","0
","0
","0:28:09
"
" Giant Bee Honey
","15
","31
","8
","4
","0:42:15
"
" Raw Mutton
","31
","139
","34
","17
","0:54:35
"
" Cooked Lamb Chop
","57
","539
","130
","65
","1:40:14
"
" Raw Prime Meat
","39
","262
","63
","32
","1:08:40
"
" Cooked Prime Meat
","77
","847
","204
","102
","2:15:24
"
" Raw Prime Fish Meat
","96
","401
","97
","49
","1:24:30
"
" Raw Meat
","115
","1435
","345
","173
","3:22:27
"
" Cooked Prime Fish Meat
","192
","1183
","284
","142
","2:53:38
"
" Mejoberry
","192
","1438
","346
","173
","3:22:48
"
" Cooked Meat
","230
","1435
","345
","173
","3:22:27
"
" Berries
","288
","1438
","346
","173
","3:22:48
"
" Raw Fish Meat
","288
","1883
","452
","226
","4:13:30
"
" Cooked Fish Meat
","575
","1879
","451
","226
","4:13:03
"
"KO:  × 454;  × 186;  × 51;  × 29;  × 21;  × 11
"
"Torpidity-depletion: 1.96 / s, Time until all torpidity is depleted: 00:38:47
"
