
" Extraordinary Kibble
","19
","0
","0
","0
","1:04:48
"
" Raw Mutton
","40
","42
","10
","5
","1:20:00
"
" Cooked Lamb Chop
","73
","550
","128
","64
","2:25:51
"
" Raw Prime Meat
","50
","196
","46
","23
","1:40:00
"
" Cooked Prime Meat
","99
","951
","221
","111
","3:17:47
"
" Raw Prime Fish Meat
","123
","374
","87
","44
","2:03:00
"
" Raw Meat
","148
","1709
","398
","199
","4:56:00
"
" Cooked Prime Fish Meat
","246
","1376
","320
","160
","4:12:46
"
" Cooked Meat
","295
","1701
","396
","198
","4:55:00
"
" Raw Fish Meat
","369
","2273
","528
","264
","6:09:00
"
" Cooked Fish Meat
","738
","2273
","528
","264
","6:09:00
"
"KO:  × 704;  × 288;  × 79;  × 45;  × 32;  × 16
"
"Torpidity-depletion: 1.58 / s, Time until all torpidity is depleted: 01:14:38
"
