
" Exceptional Kibble
","27
","0
","0
","0
","0:57:33
"
" Raw Mutton
","58
","196
","48
","24
","1:56:00
"
" Cooked Lamb Chop
","106
","1094
","268
","134
","3:31:47
"
" Raw Prime Meat
","72
","458
","113
","57
","2:24:00
"
" Cooked Prime Meat
","143
","1788
","438
","219
","4:45:42
"
" Raw Prime Fish Meat
","179
","787
","193
","97
","2:59:00
"
" Raw Meat
","215
","3142
","770
","385
","7:10:00
"
" Cooked Prime Fish Meat
","358
","2558
","627
","314
","6:07:50
"
" Cooked Meat
","429
","3132
","768
","384
","7:09:00
"
" Raw Fish Meat
","537
","4146
","1016
","508
","8:57:00
"
" Cooked Fish Meat
","1073
","4141
","1015
","508
","8:56:30
"
"KO:  × 1262;  × 515;  × 141;  × 81;  × 58;  × 29
"
"Torpidity-depletion: 2.21 / s, Time until all torpidity is depleted: 01:35:11
"
