
" Superior Kibble
","10
","0
","0
","0
","0:23:59
"
" Raw Mutton
","22
","0
","0
","0
","0:49:31
"
" Cooked Lamb Chop
","40
","83
","18
","9
","1:29:55
"
" Raw Prime Meat
","27
","0
","0
","0
","1:00:46
"
" Cooked Prime Meat
","54
","213
","45
","23
","2:01:22
"
" Raw Prime Fish Meat
","67
","23
","5
","3
","1:15:23
"
" Raw Meat
","80
","455
","96
","48
","3:00:01
"
" Cooked Prime Fish Meat
","134
","352
","74
","37
","2:34:54
"
" Cooked Meat
","160
","455
","96
","48
","3:00:01
"
" Raw Fish Meat
","200
","641
","134
","67
","3:45:01
"
" Cooked Fish Meat
","400
","641
","134
","67
","3:45:01
"
"KO:  × 273;  × 112;  × 31;  × 18;  × 13;  × 7
"
"Torpidity-depletion: 0.66 / s, Time until all torpidity is depleted: 01:09:49
"
