
" Exceptional Kibble
","10
","0
","0
","0
","0:21:19
"
" Raw Mutton
","22
","0
","0
","0
","0:44:00
"
" Cooked Lamb Chop
","40
","138
","31
","16
","1:19:55
"
" Raw Prime Meat
","27
","0
","0
","0
","0:54:00
"
" Cooked Prime Meat
","53
","307
","69
","35
","1:45:54
"
" Raw Prime Fish Meat
","67
","54
","12
","6
","1:07:00
"
" Raw Meat
","80
","659
","148
","74
","2:40:00
"
" Cooked Prime Fish Meat
","133
","507
","114
","57
","2:16:39
"
" Cooked Meat
","159
","652
","146
","73
","2:39:00
"
" Raw Fish Meat
","199
","912
","205
","103
","3:19:00
"
" Cooked Fish Meat
","398
","912
","205
","103
","3:19:00
"
"KO:  × 425;  × 174;  × 48;  × 27;  × 20;  × 10
"
"Torpidity-depletion: 1.21 / s, Time until all torpidity is depleted: 00:58:46
"
