
" Exceptional Kibble
","33
","0
","0
","0
","1:10:20
"
" Raw Mutton
","70
","374
","94
","47
","2:20:00
"
" Cooked Lamb Chop
","129
","1552
","388
","194
","4:17:43
"
" Raw Prime Meat
","87
","714
","179
","90
","2:54:00
"
" Cooked Prime Meat
","173
","2431
","608
","304
","5:45:38
"
" Raw Prime Fish Meat
","217
","1144
","287
","144
","3:37:00
"
" Raw Meat
","260
","4175
","1044
","522
","8:40:00
"
" Cooked Prime Fish Meat
","433
","3424
","856
","428
","7:24:53
"
" Cooked Meat
","519
","4165
","1042
","521
","8:39:00
"
" Raw Fish Meat
","649
","5466
","1367
","684
","10:49:00
"
" Cooked Fish Meat
","1298
","5466
","1367
","684
","10:49:00
"
"KO:  × 1541;  × 629;  × 172;  × 98;  × 70;  × 35
"
"Torpidity-depletion: 2.51 / s, Time until all torpidity is depleted: 01:42:38
"
