
" Exceptional Kibble
","22
","0
","0
","0
","0:46:54
"
" Raw Mutton
","46
","51
","13
","7
","1:32:00
"
" Cooked Lamb Chop
","84
","706
","169
","85
","2:47:49
"
" Raw Prime Meat
","57
","241
","58
","29
","1:54:00
"
" Cooked Prime Meat
","113
","1207
","289
","145
","3:45:46
"
" Raw Prime Fish Meat
","142
","483
","116
","58
","2:22:00
"
" Raw Meat
","170
","2194
","525
","263
","5:40:00
"
" Cooked Prime Fish Meat
","283
","1768
","423
","212
","4:50:46
"
" Cooked Meat
","339
","2185
","523
","262
","5:39:00
"
" Raw Fish Meat
","424
","2919
","699
","350
","7:04:00
"
" Cooked Fish Meat
","848
","2919
","699
","350
","7:04:00
"
"KO:  × 983;  × 402;  × 110;  × 63;  × 45;  × 23
"
"Torpidity-depletion: 1.91 / s, Time until all torpidity is depleted: 01:26:09
"
