
" Extraordinary Kibble
","39
","304
","76
","38
","2:13:00
"
" Raw Mutton
","82
","614
","154
","77
","2:44:00
"
" Cooked Lamb Chop
","151
","1991
","498
","249
","5:01:41
"
" Raw Prime Meat
","102
","1014
","254
","127
","3:24:00
"
" Cooked Prime Meat
","204
","3051
","763
","382
","6:47:34
"
" Raw Prime Fish Meat
","255
","1524
","382
","191
","4:15:00
"
" Raw Meat
","305
","5076
","1269
","635
","10:10:00
"
" Cooked Prime Fish Meat
","509
","4205
","1052
","526
","8:42:59
"
" Cooked Meat
","610
","5076
","1269
","635
","10:10:00
"
" Raw Fish Meat
","763
","6606
","1652
","826
","12:43:00
"
" Cooked Fish Meat
","1525
","6601
","1651
","826
","12:42:30
"
"KO:  � 1541;  � 629;  � 172;  � 98;  � 70;  � 35
"
"Torpidity-depletion: 2.51 / s, Time until all torpidity is depleted: 01:42:38
"
