
" Superior Kibble
","14
","0
","0
","0
","0:33:34
"
" Raw Mutton
","30
","0
","0
","0
","1:07:31
"
" Cooked Lamb Chop
","55
","206
","44
","22
","2:03:37
"
" Raw Prime Meat
","37
","13
","3
","2
","1:23:16
"
" Cooked Prime Meat
","74
","411
","88
","44
","2:46:20
"
" Raw Prime Fish Meat
","92
","110
","24
","12
","1:43:31
"
" Raw Meat
","110
","800
","171
","86
","4:07:31
"
" Cooked Prime Fish Meat
","184
","633
","135
","68
","3:32:41
"
" Cooked Meat
","220
","800
","171
","86
","4:07:31
"
" Raw Fish Meat
","275
","1096
","234
","117
","5:09:23
"
" Cooked Fish Meat
","550
","1096
","234
","117
","5:09:23
"
"KO:  × 381;  × 156;  × 43;  × 25;  × 18;  × 9
"
"Torpidity-depletion: 0.79 / s, Time until all torpidity is depleted: 01:20:35
"
