
" Extraordinary Kibble
","12
","0
","0
","0
","0:40:56
"
" Raw Mutton
","26
","0
","0
","0
","0:52:00
"
" Cooked Lamb Chop
","47
","229
","52
","26
","1:33:54
"
" Raw Prime Meat
","32
","35
","8
","4
","1:04:00
"
" Cooked Prime Meat
","64
","450
","101
","51
","2:07:52
"
" Raw Prime Fish Meat
","80
","139
","31
","16
","1:20:00
"
" Raw Meat
","95
","854
","192
","96
","3:10:00
"
" Cooked Prime Fish Meat
","159
","681
","153
","77
","2:43:22
"
" Cooked Meat
","190
","854
","192
","96
","3:10:00
"
" Raw Fish Meat
","238
","1166
","261
","131
","3:58:00
"
" Cooked Fish Meat
","475
","1163
","261
","131
","3:57:30
"
"KO:  × 425;  × 174;  × 48;  × 27;  × 20;  × 10
"
"Torpidity-depletion: 1.21 / s, Time until all torpidity is depleted: 00:58:46
"
