
" Superior Kibble
","10
","0
","0
","0
","0:18:46
"
" Giant Bee Honey
","10
","0
","0
","0
","0:28:10
"
" Raw Mutton
","21
","49
","12
","6
","0:36:58
"
" Cooked Lamb Chop
","39
","285
","66
","33
","1:08:35
"
" Raw Prime Meat
","26
","115
","27
","14
","0:45:47
"
" Cooked Prime Meat
","52
","456
","106
","53
","1:31:27
"
" Raw Prime Fish Meat
","65
","200
","47
","24
","0:57:13
"
" Raw Meat
","78
","800
","185
","93
","2:17:19
"
" Cooked Prime Fish Meat
","130
","652
","151
","76
","1:57:34
"
" Mejoberry
","130
","800
","185
","93
","2:17:19
"
" Cooked Meat
","155
","793
","183
","92
","2:16:26
"
" Berries
","194
","794
","184
","92
","2:16:37
"
" Raw Fish Meat
","194
","1050
","243
","122
","2:50:46
"
" Cooked Fish Meat
","388
","1050
","243
","122
","2:50:46
"
"KO:  × 274;  × 112;  × 31;  × 18;  × 13;  × 7
"
"Torpidity-depletion: 1.5 / s, Time until all torpidity is depleted: 00:30:32
"
