
" Superior Kibble
","29
","12
","4
","2
","0:54:24
"
" Giant Bee Honey
","29
","314
","82
","41
","1:21:41
"
" Raw Mutton
","61
","599
","156
","78
","1:47:23
"
" Cooked Lamb Chop
","113
","1611
","418
","209
","3:18:42
"
" Raw Prime Meat
","76
","892
","232
","116
","2:13:48
"
" Cooked Prime Meat
","152
","2371
","615
","308
","4:27:17
"
" Raw Prime Fish Meat
","190
","1262
","328
","164
","2:47:14
"
" Raw Meat
","228
","3857
","1001
","501
","6:41:22
"
" Cooked Prime Fish Meat
","380
","3217
","835
","418
","5:43:39
"
" Mejoberry
","380
","3857
","1001
","501
","6:41:22
"
" Cooked Meat
","455
","3847
","998
","499
","6:40:29
"
" Berries
","569
","3849
","998
","499
","6:40:39
"
" Raw Fish Meat
","569
","4958
","1286
","643
","8:20:49
"
" Cooked Fish Meat
","1138
","4958
","1286
","643
","8:20:49
"
"KO:  × 994;  × 406;  × 111;  × 64;  × 45;  × 23
"
"Torpidity-depletion: 3.11 / s, Time until all torpidity is depleted: 00:53:20
"
